date,count,Bronx,Chautauqua,Chemung,Erie,Nassau,Niagara,Queens,Steuben,Suffolk,Allegany,New York,Warren,Westchester,Albany,Kings,Monroe,Onondaga,Rensselaer,Richmond,Saratoga,Ulster,Broome,Cattaraugus,Dutchess,Essex,Genesee,Greene,Livingston,Montgomery,Oneida,Wayne,Wyoming,Chenango,Cortland,Delaware,Franklin,Fulton,Hamilton,Herkimer,Lewis,Madison,Ontario,Orange,Orleans,Rockland,Schuyler,Tioga,Cayuga,Jefferson,Oswego,Otsego,Schenectady,Schoharie,St. Lawrence,Sullivan,Tompkins,Washington,Yates,Columbia,Putnam,Seneca,Clinton
2018-1,214.9338888669484,182.40601127113337,138.44791666666666,357.8020833333333,340.7955729166667,217.34249534450652,342.5787037037037,333.2932692307692,166.11666666666667,204.99712597150258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-2,175.51219601056562,122.37126800140499,70.98333333333333,NA,442.12927756653994,202.52279792746114,NA,220.58888520605458,58.09657794676806,177.46903278244378,56.268229166666664,374.1653971708379,98.76178010471205,33.334782608695654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-3,168.34717083942758,NA,NA,78.99861687413555,122.25195618153364,NA,93.5892696122633,139.99665551839465,54.10615471485037,168.98745519713262,NA,249.66944177607002,227.40972222222223,83.38288569643973,363.89121338912133,174.16408006580752,210.03705683235347,264.3759512937595,85.47901325478645,166.5522080066034,548.3356973995271,101.13876758854924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-4,133.36781451612904,NA,NA,NA,136.94813420061624,196.34641731744074,NA,144.71029149315882,27.233620775101596,129.34671434957534,5.095703125,344.7070002147305,98.77368421052631,190.15715899463427,18.818181818181817,NA,225.2704256192692,78.28069634879063,66.5984126984127,NA,69.01326815642459,43.01876302988186,32.608695652173914,103.23142250530786,113.7294830371567,82.3048780487805,80.80626545754328,7.4631490787269685,41.3014705882353,NA,90.21,76.5214996822707,14.530130293159608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-5,180.35334135843,777.3040184453228,63.04217346127987,30.649015531368473,98.36480832296732,126.23633180716402,109.30504587155963,915.903298110791,28.241439054219324,166.51996236053233,9.254008603832617,759.2000711997152,NA,224.00405679513185,210.4956982131039,915.5786885245901,193.26788805539528,148.8850553505535,NA,916.7505341880342,61.97872340425532,31.824942791762012,45.36190476190476,69.25913224988818,220.15912842522283,NA,NA,18.01378446115288,NA,181.1,75.8373839162221,NA,NA,29.96922216004477,278.5208333333333,1.28125,74.11079545454545,261.21,13.40123010130246,53.66674919534538,11.644593461860856,171.43413173652695,196.37773759292747,152.15899524779363,37.910845910845914,219.89731205375892,23.90951932139491,67.20443740095087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-6,133.52756960519145,683.9682203389831,79.64260563380282,21.5873934226553,155.92708075558855,45.57142857142857,95.02002626395273,127.28372093023256,27.101971830985917,180.57221046109362,15.623530716345087,650.3625687156422,NA,166.38781190019193,186.14265903969493,321.4348188254894,274.72035058887974,394.21937751004015,93.5241935483871,NA,NA,19.048387096774192,97.18191161356629,8.21369294605809,NA,NA,84.96292070735882,NA,80.38498084291187,NA,92.01701119724376,NA,52.50408719346049,35.35,NA,21.95193548387097,64.85937754603226,NA,NA,NA,23.173018292682926,55.41408146749393,151.2707930367505,146.9811320754717,0.9946236559139785,150.96154312750213,5.896103896103896,NA,113.49022673964035,64.1931330472103,53.95846917080085,44.288978494623656,165.71559633027522,47.896946564885496,52.26821862348178,97.22669826224329,113.84415584415585,131.38823529411764,18.958560794044665,NA,NA,NA,NA
2018-7,152.7236658619604,149.88897637795276,74.2,93.93037584719654,257.40037629350894,197.89972144846797,154.53844167025397,215.35609423011266,18.976813443948096,333.1688097366431,21.670811666289847,229.68612716763005,NA,177.42167751819227,284.25,163.400390625,209.85546364823682,472.3129734848485,54.34663341645885,84.45949074074075,167.82489451476792,131.08603896103895,162.86318407960198,79.92098765432098,127.94187145557656,20.698863636363637,139.95070422535213,316.125,73.36538461538461,41.796206440229376,NA,90.80625,122.85135135135135,62.44951923076923,NA,3.7975778546712804,NA,NA,NA,55.156716417910445,21.415713575335655,58.232142857142854,139.79679144385025,205.57215619694398,20.257575757575758,682.8878737541528,63.035483870967745,NA,62.9373840445269,58.514498371840595,NA,89.91030534351145,172.38095238095238,NA,22.386104783599087,NA,NA,20.199160625715376,18.952651515151516,80.04186684969115,165.02665876777252,112.07084188911705,NA
2018-8,155.19432857631728,NA,59.817419655333026,55.17330383480826,188.19006325239747,294.14925198690975,215.99359196397646,185.00676056338028,12.240264698396539,223.7465232858991,14.407352210630899,NA,124.2490625,267.9632850241546,439.9538239538239,138.0309667673716,147.87724063009233,211.4990458015267,269.6041666666667,NA,154.35,338.0959595959596,166.51058478306436,52.73780487804878,212.2008547008547,38.268178545716346,44.99053784860558,340.408077994429,53.79112833763997,156.02334914264867,158.1474183088052,53.8756906077348,124.81343283582089,21.916523235800344,36.88613426941641,17.475453575240127,107.76446280991736,80.18135028761732,44.86720698254364,121.05987741631306,26.369077306733168,218.6590308370044,149.94965675057207,271.32775119617224,37.925394548063124,414.61968085106383,NA,NA,481.0703125,85.04445269935611,NA,26.059420289855073,291.4091891891892,185.04022988505747,27.616280964797912,113.03846153846153,93.17594401041667,94.02187853640136,14.63199711087035,284.47743055555554,543.7946428571429,473.4427083333333,46.86845466155811
2018-9,98.8364226571321,NA,119.22071678321679,71.04194312796209,135.08360254527656,117.68827586206896,71.68181818181819,194.84186633039093,30.394526795895096,166.85894568690097,7.190105414470532,125.04591439688716,50.31382978723404,142.07474931631722,301.4676470588235,124.23371514520421,278.998427672956,103.48829753126002,NA,NA,146.65960539979233,105.09037832788417,39.4463480613165,41.189438390611905,NA,32.07308048103608,NA,NA,112.91052631578947,158.66487455197134,80.99475524475524,31.31821998320739,NA,NA,NA,NA,47.60655737704918,NA,29.256668642560758,NA,55.285714285714285,79.17910447761194,120.30407281703178,145.70925507900677,NA,NA,NA,NA,NA,95.26359534552363,NA,NA,NA,NA,17.484126984126984,41.2534494086728,52.12291666666667,68.07166890982504,15.197792088316467,NA,NA,43.31687612208258,95.83115338882283
2018-10,106.85226408022805,155.25513744328796,48.17370911856672,108.63711583924349,301.70800306826897,98.05583345965337,83.39497633782308,192.81244135860388,41.1084800396727,118.26736111111111,33.35194542698333,236.2014585232452,108.60963315597871,94.95198037153872,118.42881661374753,NA,277.28146611341634,188.61097804391218,NA,203.12649253731342,133.18289522399112,229.45042016806724,21.931372549019606,25.4179462571977,91.87742130750605,33.8500424808836,155.92145862552596,96.07391304347826,31.320799059929495,69.79835589941973,81.36997319034853,177.8960498960499,12.508961730986599,34.59537572254335,57.679337598795634,62.07656967840735,109.68666666666667,84.51799894123874,42.00892857142857,49.7946247464503,116.67,114.95412342981977,43.50151860288535,112.00704225352112,NA,NA,46.15689655172414,246.42708333333334,55.360489328474756,104.54094230284707,48.571766375029554,90.38788167938931,148.03063023358308,58.514813224559894,89.31337480559876,25.03680981595092,NA,50.87407407407407,11.98030495552732,NA,24.16385911179173,99.06501901140685,81.49200348938645
